rank,name,drug_id,binding_score,predicted_ic50_nm,binding_strength
1,Nirmatrelvir,CID155903259,1.0,16.990547017220997,strong
2,Zanamivir,CID60855,0.8509816426195075,34.904522934590425,strong
3,Nafamostat,CID4413,0.7947791631409235,45.793861685487975,strong
4,Nafamostat,CID4413,0.7947791631409235,45.793861685487975,strong
5,Oseltamivir,CID65028,0.7928071603015002,46.23224444613522,strong
6,Doravirine,CID71731823,0.7716574910254751,51.20611007395651,strong
7,Lorlatinib,CID71731823,0.7716574910254751,51.20611007395651,strong
8,Cabotegravir,CID11957837,0.7124816668705104,68.15317599425384,strong
9,"(4R)-4-[(4R,5S)-2,2-dimethyl-5-[(1R,2R)-2-methyl-1-triethylsilyloxybut-3-enyl]-1,3-dioxolan-4-yl]-4-methoxybutanal",CID11957837,0.7124816668705104,68.15317599425384,strong
10,Efavirenz,CID64139,0.7015569583902206,71.84699652996518,strong
