treatment_id,virus,drug_name,drug_id,dosage_mg,frequency,duration_days,efficacy,side_effects,protocol_source
Ade_TREAT_0001,Adenovirus,Ganciclovir,CID3449,100,three times daily,21,high,"headache, rash, fatigue",FDA
Ade_TREAT_0002,Adenovirus,Ganciclovir,CID3449,250,three times daily,8,high,liver toxicity,WHO
Ade_TREAT_0003,Adenovirus,Acyclovir,CID2478,100,twice daily,18,high,liver toxicity,WHO
Ade_TREAT_0004,Adenovirus,Ganciclovir,CID3449,250,three times daily,17,moderate,nausea,Literature
Ade_TREAT_0005,Adenovirus,Acyclovir,CID2478,1000,twice daily,14,high,none,Clinical Trial
Ade_TREAT_0006,Adenovirus,Acyclovir,CID2478,750,three times daily,15,low,none,FDA
Ade_TREAT_0007,Adenovirus,Acyclovir,CID2478,750,three times daily,7,moderate,"nausea, rash",Clinical Trial
Ade_TREAT_0008,Adenovirus,Acyclovir,CID2478,750,three times daily,10,moderate,nausea,Clinical Trial
Ade_TREAT_0009,Adenovirus,Acyclovir,CID2478,250,once daily,7,low,"nausea, rash, fatigue",FDA
Ade_TREAT_0010,Adenovirus,Acyclovir,CID2478,200,once daily,6,high,"fatigue, headache, diarrhea",Literature
Ade_TREAT_0011,Adenovirus,Ganciclovir,CID3449,100,once daily,10,moderate,none,FDA
Ade_TREAT_0012,Adenovirus,Ganciclovir,CID3449,200,three times daily,10,high,"liver toxicity, fatigue",Literature
Ade_TREAT_0013,Adenovirus,Acyclovir,CID2478,200,once daily,13,high,"nausea, diarrhea",FDA
Ade_TREAT_0014,Adenovirus,Ganciclovir,CID3449,500,twice daily,7,high,none,Clinical Trial
Ade_TREAT_0015,Adenovirus,Ganciclovir,CID3449,1000,twice daily,9,high,liver toxicity,Clinical Trial
Ade_TREAT_0016,Adenovirus,Ganciclovir,CID3449,250,twice daily,5,high,"headache, fatigue, diarrhea",FDA
Ade_TREAT_0017,Adenovirus,Ganciclovir,CID3449,100,once daily,10,moderate,rash,Clinical Trial
Ade_TREAT_0018,Adenovirus,Ganciclovir,CID3449,200,three times daily,12,moderate,"headache, diarrhea, nausea",Clinical Trial
Ade_TREAT_0019,Adenovirus,Ganciclovir,CID3449,500,twice daily,12,moderate,none,FDA
Ade_TREAT_0020,Adenovirus,Acyclovir,CID2478,1000,twice daily,14,high,"fatigue, rash, nausea",Literature
Ade_TREAT_0021,Adenovirus,Acyclovir,CID2478,250,once daily,10,high,fatigue,Literature
Ade_TREAT_0022,Adenovirus,Ganciclovir,CID3449,750,once daily,11,high,none,FDA
