virus,protein,pdb_id,drug_name,drug_id,ic50_nm,ki_nm,assay_type,source
SARS-CoV-2,3CL protease,7BNN,Nirmatrelvir,CID155903259,3.1,,IC50,Literature
SARS-CoV-2,3CL protease,7BNN,Lopinavir,CID92727,5000.0,,IC50,Literature
SARS-CoV-2,3CL protease,7BNN,Ritonavir,CID392622,8200.0,,IC50,Literature
SARS-CoV-2,3CL protease,7BNN,Darunavir,CID213039,12000.0,,IC50,Literature
SARS-CoV-2,3CL protease,7BNN,Nelfinavir,CID64143,1500.0,,IC50,Literature
SARS-CoV-2,RNA polymerase,7BV2,Remdesivir,CID121304016,100.0,,IC50,Literature
SARS-CoV-2,RNA polymerase,7BV2,Favipiravir,CID492405,4800.0,,IC50,Literature
SARS-CoV-2,RNA polymerase,7BV2,Ribavirin,CID37542,7500.0,,IC50,Literature
SARS-CoV-2,RNA polymerase,7BV2,Molnupiravir,CID145996610,500.0,,IC50,Literature
SARS-CoV-2,RNA polymerase,7BV2,Sofosbuvir,CID45375808,2500.0,,IC50,Literature
Influenza,Neuraminidase,4GMS,Oseltamivir,CID65028,0.5,0.3,IC50,Literature
Influenza,Neuraminidase,4GMS,Zanamivir,CID60855,0.7,0.4,IC50,Literature
Influenza,Neuraminidase,4GMS,Peramivir,CID150610,1.2,,IC50,Literature
Influenza,Neuraminidase,4GMS,Laninamivir,CID9938448,2.5,,IC50,Literature
Influenza,Hemagglutinin,1RVX,Arbidol,CID131411,8500.0,,IC50,Literature
Influenza,M2 ion channel,3LBW,Amantadine,CID2130,50.0,,IC50,Literature
Influenza,M2 ion channel,3LBW,Rimantadine,CID5071,75.0,,IC50,Literature
HIV-1,Protease,1HXW,Lopinavir,CID92727,1.3,0.07,IC50,Literature
HIV-1,Protease,1HXW,Ritonavir,CID392622,15.0,0.6,IC50,Literature
HIV-1,Protease,1HXW,Darunavir,CID213039,1.0,0.4,IC50,Literature
HIV-1,Protease,1HXW,Atazanavir,CID148192,2.5,1.2,IC50,Literature
HIV-1,Protease,1HXW,Indinavir,CID5362440,0.5,0.2,IC50,Literature
HIV-1,Protease,1HXW,Saquinavir,CID441243,0.7,0.3,IC50,Literature
HIV-1,Protease,1HXW,Nelfinavir,CID64143,2.0,1.0,IC50,Literature
HIV-1,Protease,1HXW,Tipranavir,CID54682461,8.0,,IC50,Literature
HIV-1,Protease,1HXW,Amprenavir,CID65016,15.0,0.6,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Efavirenz,CID64139,3.0,1.5,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Nevirapine,CID4463,100.0,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Rilpivirine,CID5329102,0.7,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Etravirine,CID193962,2.9,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Zidovudine,CID35370,50.0,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Lamivudine,CID73339,150.0,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Emtricitabine,CID60877,120.0,,IC50,Literature
HIV-1,Reverse Transcriptase,1RTD,Tenofovir,CID464205,300.0,,IC50,Literature
HIV-1,Integrase,3NF7,Raltegravir,CID54671008,3.3,,IC50,Literature
HIV-1,Integrase,3NF7,Dolutegravir,CID54726191,1.6,,IC50,Literature
HIV-1,Integrase,3NF7,Elvitegravir,CID5277135,7.2,,IC50,Literature
HIV-1,Integrase,3NF7,Bictegravir,CID71364374,1.5,,IC50,Literature
HCV,NS3/4A protease,3KEE,Simeprevir,CID24873435,0.9,,IC50,Literature
HCV,NS3/4A protease,3KEE,Paritaprevir,CID25077993,1.0,,IC50,Literature
HCV,NS3/4A protease,3KEE,Glecaprevir,CID67683334,0.5,,IC50,Literature
HCV,NS3/4A protease,3KEE,Grazoprevir,CID71481076,0.8,,IC50,Literature
HCV,NS5B polymerase,4WTG,Sofosbuvir,CID45375808,40.0,,IC50,Literature
HCV,NS5B polymerase,4WTG,Dasabuvir,CID56640146,7.9,,IC50,Literature
HSV-1,Thymidine kinase,1KI2,Acyclovir,CID2478,30.0,,IC50,Literature
