drug_name,virus,protein,ic50_nm,ki_nm,kd_nm,binding_energy,smiles,source,pic50,mol_weight,logP
Remdesivir,SARS-CoV-2,RNA polymerase,100.0,80.0,120.0,-8.2,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,7.0,780,11.1
Remdesivir_variant_1,SARS-CoV-2,RNA polymerase,89.48947772458664,88.30227394961199,130.22205679131415,-8.624616694909573,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,7.048228026525403,780,11.1
Remdesivir_variant_2,SARS-CoV-2,RNA polymerase,96.83508742724665,103.33261349259831,144.62343103413605,-8.02727321105301,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,7.013967251008037,780,11.1
Remdesivir_variant_3,SARS-CoV-2,RNA polymerase,113.50717458244463,83.5097926650582,130.43000624964552,-8.141989905871666,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,6.944976686637475,780,11.1
Remdesivir_variant_4,SARS-CoV-2,RNA polymerase,110.12209426755832,91.16582580986287,150.92067127581578,-7.940586595452519,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,6.9581255379234985,780,11.1
Remdesivir_variant_5,SARS-CoV-2,RNA polymerase,114.12159366073115,87.65789445157372,137.6178028115265,-8.29921283499968,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,6.94263217223027,780,11.1
Remdesivir_variant_6,SARS-CoV-2,RNA polymerase,124.11194771758987,89.65214809619745,125.92822056850424,-8.022828279651392,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,6.906186408847284,780,11.1
Remdesivir_variant_7,SARS-CoV-2,RNA polymerase,100.04628419359696,67.61803509762385,116.73205563908178,-7.741443148263411,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,6.999799036804726,780,11.1
Remdesivir_variant_8,SARS-CoV-2,RNA polymerase,79.6517435435949,90.68467391832229,150.56891870339547,-8.386309647058987,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,7.09880471323291,780,11.1
Remdesivir_variant_9,SARS-CoV-2,RNA polymerase,90.6426894285897,88.21449234762675,112.64085712652893,-8.065068538572735,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Literature,7.042667217148763,780,11.1
